Syndrome_id,Is_Wood,Is_Fire,Is_Earth,Is_Metal,Is_Water,Is_Reproductive,hot,cold,internal,external,yin,yang,excess,deficiency
SMSY00001,0.07692307692307693,0.038461538461538464,0.07692307692307693,0.0,0.34615384615384615,0.0,0.0,0.07692307692307693,0.38461538461538464,0.11538461538461539,0.11538461538461539,0.07692307692307693,0.0,0.15384615384615385
SMSY00002,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SMSY00003,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.17647058823529413,0.11764705882352941,0.17647058823529413,0.058823529411764705,0.0,0.8235294117647058,0.23529411764705882,0.11764705882352941,0.058823529411764705,0.0,0.17647058823529413
SMSY00004,0.0,0.2222222222222222,0.0,0.5555555555555556,0.1111111111111111,0.0,0.1111111111111111,0.0,1.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.2222222222222222
SMSY00005,0.0,0.11538461538461539,0.6923076923076923,0.038461538461538464,0.0,0.0,0.07692307692307693,0.038461538461538464,0.7692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.2692307692307692,0.0
SMSY00006,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.0,0.0,0.2222222222222222,0.7777777777777778,0.4444444444444444,0.0,0.0,0.0,0.0
SMSY00007,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SMSY00008,0.05,0.3,0.0,0.0,0.05,0.65,0.05,0.0,0.45,0.1,0.05,0.1,0.0,0.15
SMSY00009,0.05263157894736842,0.42105263157894735,0.06578947368421052,0.21052631578947367,0.3026315789473684,0.013157894736842105,0.34210526315789475,0.013157894736842105,0.7236842105263158,0.09210526315789473,0.05263157894736842,0.35526315789473684,0.07894736842105263,0.09210526315789473
SMSY00010,0.0,0.06451612903225806,0.0,0.8709677419354839,0.0,0.0,0.06451612903225806,0.06451612903225806,0.8709677419354839,0.06451612903225806,0.03225806451612903,0.06451612903225806,0.16129032258064516,0.03225806451612903
SMSY00011,0.0,0.06666666666666667,0.0,0.8666666666666667,0.0,0.0,0.03333333333333333,0.03333333333333333,0.8666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.16666666666666666,0.03333333333333333
SMSY00012,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.46153846153846156,0.07692307692307693,0.0,0.0
SMSY00013,0.13333333333333333,0.4666666666666667,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.06666666666666667,0.0,0.0,0.0,0.26666666666666666
SMSY00014,0.05263157894736842,0.0,0.05263157894736842,0.3684210526315789,0.0,0.0,0.0,0.3157894736842105,0.42105263157894735,0.5263157894736842,0.05263157894736842,0.0,0.0,0.0
SMSY00015,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.0,0.0,0.0,0.0
SMSY00016,0.09090909090909091,0.06363636363636363,0.10909090909090909,0.23636363636363636,0.11363636363636363,0.013636363636363636,0.25,0.013636363636363636,0.4681818181818182,0.22727272727272727,0.04090909090909091,0.2772727272727273,0.05454545454545454,0.02727272727272727
SMSY00017,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
SMSY00018,0.0,0.05,0.05,0.0,0.1,0.75,0.05,0.2,0.5,0.05,0.15,0.05,0.05,0.05
SMSY00019,0.05263157894736842,0.10526315789473684,0.39473684210526316,0.05263157894736842,0.15789473684210525,0.05263157894736842,0.02631578947368421,0.47368421052631576,0.868421052631579,0.15789473684210525,0.05263157894736842,0.02631578947368421,0.07894736842105263,0.05263157894736842
SMSY00020,0.0,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.14285714285714285,0.0,0.10714285714285714,0.39285714285714285,0.2857142857142857,0.21428571428571427,0.14285714285714285,0.17857142857142858,0.03571428571428571,0.14285714285714285
SMSY00021,0.021739130434782608,0.06521739130434782,0.10869565217391304,0.08695652173913043,0.13043478260869565,0.021739130434782608,0.08695652173913043,0.2826086956521739,0.3695652173913043,0.2391304347826087,0.10869565217391304,0.17391304347826086,0.021739130434782608,0.13043478260869565
SMSY00022,0.021739130434782608,0.06521739130434782,0.10869565217391304,0.08695652173913043,0.13043478260869565,0.021739130434782608,0.08695652173913043,0.2826086956521739,0.3695652173913043,0.2391304347826087,0.10869565217391304,0.17391304347826086,0.021739130434782608,0.13043478260869565
SMSY00023,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.0,0.0,0.18181818181818182,0.45454545454545453,0.36363636363636365,0.0,0.18181818181818182,0.0,0.18181818181818182
SMSY00024,0.0,0.0,0.0,0.0,0.0625,0.0,0.03125,0.0625,0.0625,0.125,0.09375,0.03125,0.0,0.0
SMSY00025,0.0,0.1111111111111111,0.5555555555555556,0.1111111111111111,0.0,0.0,0.0,0.0,1.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0
SMSY00026,0.0,0.10714285714285714,0.35714285714285715,0.03571428571428571,0.17857142857142858,0.07142857142857142,0.0,0.5,0.8214285714285714,0.10714285714285714,0.03571428571428571,0.0,0.0,0.03571428571428571
SMSY00027,0.0,0.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
SMSY00028,0.01818181818181818,0.09090909090909091,0.2545454545454545,0.01818181818181818,0.12727272727272726,0.3090909090909091,0.03636363636363636,0.4,0.7090909090909091,0.10909090909090909,0.09090909090909091,0.03636363636363636,0.05454545454545454,0.05454545454545454
SMSY00029,0.0,0.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
SMSY00030,0.0,0.09090909090909091,0.045454545454545456,0.5454545454545454,0.0,0.0,0.4090909090909091,0.0,0.6363636363636364,0.045454545454545456,0.0,0.4090909090909091,0.22727272727272727,0.0
SMSY00031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0
SMSY00032,0.1875,0.1875,0.40625,0.125,0.09375,0.03125,0.375,0.03125,0.8125,0.1875,0.0625,0.375,0.0625,0.03125
SMSY00033,0.11538461538461539,0.5,0.11538461538461539,0.11538461538461539,0.23076923076923078,0.07692307692307693,0.19230769230769232,0.0,0.9230769230769231,0.19230769230769232,0.19230769230769232,0.2692307692307692,0.07692307692307693,0.23076923076923078
SMSY00034,0.10344827586206896,0.20689655172413793,0.27586206896551724,0.27586206896551724,0.034482758620689655,0.0,0.0,0.0,0.896551724137931,0.1724137931034483,0.1724137931034483,0.0,0.10344827586206896,0.20689655172413793
SMSY00035,0.030303030303030304,0.5151515151515151,0.09090909090909091,0.24242424242424243,0.0,0.30303030303030304,0.06060606060606061,0.06060606060606061,0.8484848484848485,0.12121212121212122,0.030303030303030304,0.06060606060606061,0.06060606060606061,0.06060606060606061
SMSY00036,0.14285714285714285,0.5714285714285714,0.0,0.21428571428571427,0.07142857142857142,0.0,0.0,0.0,0.9285714285714286,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857
SMSY00037,0.14285714285714285,0.39285714285714285,0.17857142857142858,0.17857142857142858,0.14285714285714285,0.0,0.03571428571428571,0.07142857142857142,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.10714285714285714,0.0,0.17857142857142858
SMSY00038,0.06521739130434782,0.34782608695652173,0.08695652173913043,0.30434782608695654,0.10869565217391304,0.0,0.21739130434782608,0.021739130434782608,0.6739130434782609,0.10869565217391304,0.0,0.21739130434782608,0.08695652173913043,0.0
SMSY00039,0.06666666666666667,0.4,0.0,0.4,0.0,0.0,0.2,0.0,0.6,0.13333333333333333,0.0,0.2,0.0,0.0
SMSY00040,0.07142857142857142,0.3333333333333333,0.09523809523809523,0.3333333333333333,0.11904761904761904,0.0,0.21428571428571427,0.0,0.6666666666666666,0.07142857142857142,0.0,0.21428571428571427,0.09523809523809523,0.0
SMSY00041,0.06666666666666667,0.35555555555555557,0.08888888888888889,0.3111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.022222222222222223,0.6888888888888889,0.08888888888888889,0.0,0.2222222222222222,0.08888888888888889,0.0
SMSY00042,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SMSY00043,0.1875,0.1875,0.125,0.0625,0.0625,0.375,0.0,0.0,0.5625,0.25,0.0,0.0,0.0,0.125
SMSY00044,0.09090909090909091,0.3181818181818182,0.18181818181818182,0.2878787878787879,0.030303030303030304,0.15151515151515152,0.030303030303030304,0.030303030303030304,0.7727272727272727,0.07575757575757576,0.045454545454545456,0.045454545454545456,0.07575757575757576,0.030303030303030304
SMSY00045,0.0,0.058823529411764705,0.0,0.23529411764705882,0.47058823529411764,0.17647058823529413,0.0,0.0,0.5294117647058824,0.11764705882352941,0.058823529411764705,0.0,0.0,0.11764705882352941
SMSY00046,0.14942528735632185,0.1839080459770115,0.1839080459770115,0.08045977011494253,0.09195402298850575,0.2413793103448276,0.011494252873563218,0.011494252873563218,0.5517241379310345,0.1839080459770115,0.08045977011494253,0.05747126436781609,0.0,0.28735632183908044
SMSY00047,0.16346153846153846,0.28846153846153844,0.20192307692307693,0.0673076923076923,0.09615384615384616,0.125,0.04807692307692308,0.019230769230769232,0.6730769230769231,0.18269230769230768,0.08653846153846154,0.10576923076923077,0.0,0.23076923076923078
SMSY00048,0.1504424778761062,0.26548672566371684,0.18584070796460178,0.061946902654867256,0.08849557522123894,0.168141592920354,0.04424778761061947,0.017699115044247787,0.6194690265486725,0.18584070796460178,0.07964601769911504,0.09734513274336283,0.0,0.23008849557522124
SMSY00049,0.1559633027522936,0.27522935779816515,0.1926605504587156,0.06422018348623854,0.09174311926605505,0.13761467889908258,0.045871559633027525,0.01834862385321101,0.6422018348623854,0.1926605504587156,0.08256880733944955,0.10091743119266056,0.0,0.22018348623853212
SMSY00050,0.022222222222222223,0.08888888888888889,0.37777777777777777,0.4,0.0,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.8,0.08888888888888889,0.06666666666666667,0.044444444444444446,0.06666666666666667,0.1111111111111111
SMSY00051,0.046153846153846156,0.2923076923076923,0.06153846153846154,0.24615384615384617,0.015384615384615385,0.35384615384615387,0.046153846153846156,0.03076923076923077,0.5846153846153846,0.09230769230769231,0.06153846153846154,0.06153846153846154,0.046153846153846156,0.046153846153846156
SMSY00052,0.027777777777777776,0.1388888888888889,0.25,0.2222222222222222,0.1111111111111111,0.0,0.25,0.0,0.6111111111111112,0.19444444444444445,0.19444444444444445,0.2777777777777778,0.027777777777777776,0.2777777777777778
SMSY00053,0.02702702702702703,0.10810810810810811,0.21621621621621623,0.24324324324324326,0.10810810810810811,0.05405405405405406,0.24324324324324326,0.0,0.5945945945945946,0.21621621621621623,0.1891891891891892,0.2702702702702703,0.02702702702702703,0.2702702702702703
SMSY00054,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.5,0.25,0.25,0.25,0.0,0.25
SMSY00055,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
SMSY00056,0.11392405063291139,0.31645569620253167,0.189873417721519,0.05063291139240506,0.0759493670886076,0.25316455696202533,0.0379746835443038,0.012658227848101266,0.6329113924050633,0.17721518987341772,0.10126582278481013,0.0759493670886076,0.012658227848101266,0.27848101265822783
SMSY00057,0.14285714285714285,0.047619047619047616,0.2857142857142857,0.6190476190476191,0.14285714285714285,0.0,0.2857142857142857,0.0,0.9523809523809523,0.14285714285714285,0.09523809523809523,0.2857142857142857,0.19047619047619047,0.09523809523809523
SMSY00058,0.16666666666666666,0.05555555555555555,0.2222222222222222,0.7222222222222222,0.16666666666666666,0.0,0.2777777777777778,0.0,1.0,0.16666666666666666,0.05555555555555555,0.2777777777777778,0.2222222222222222,0.05555555555555555
SMSY00059,0.0,0.0,0.1,1.0,0.0,0.0,0.1,0.0,1.0,0.2,0.0,0.1,0.4,0.1
SMSY00060,0.04419889502762431,0.13812154696132597,0.0718232044198895,0.09944751381215469,0.03867403314917127,0.08287292817679558,0.022099447513812154,0.03867403314917127,0.3701657458563536,0.13259668508287292,0.03314917127071823,0.049723756906077346,0.022099447513812154,0.027624309392265192
SMSY00061,0.02877697841726619,0.11510791366906475,0.09352517985611511,0.10071942446043165,0.04316546762589928,0.10071942446043165,0.02158273381294964,0.02877697841726619,0.39568345323741005,0.1223021582733813,0.02877697841726619,0.03597122302158273,0.02158273381294964,0.02158273381294964
SMSY00063,0.0,0.06451612903225806,0.06451612903225806,0.0967741935483871,0.12903225806451613,0.0,0.2903225806451613,0.03225806451612903,0.25806451612903225,0.16129032258064516,0.0,0.2903225806451613,0.16129032258064516,0.0
SMSY00064,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
SMSY00065,0.0625,0.6875,0.0,0.0,0.125,0.0,0.125,0.0,0.8125,0.1875,0.125,0.125,0.0,0.0
SMSY00066,0.0,0.3333333333333333,0.0,0.14285714285714285,0.047619047619047616,0.0,0.42857142857142855,0.0,0.5238095238095238,0.047619047619047616,0.0,0.42857142857142855,0.0,0.0
SMSY00067,0.0625,0.6875,0.0,0.0,0.125,0.0,0.125,0.0,0.8125,0.1875,0.125,0.125,0.0,0.0
SMSY00068,0.0625,0.6875,0.0,0.0,0.125,0.0,0.125,0.0,0.8125,0.1875,0.125,0.125,0.0,0.0
SMSY00069,0.06666666666666667,0.1111111111111111,0.4888888888888889,0.35555555555555557,0.08888888888888889,0.022222222222222223,0.044444444444444446,0.022222222222222223,0.8888888888888888,0.044444444444444446,0.15555555555555556,0.06666666666666667,0.1111111111111111,0.06666666666666667
SMSY00070,0.07692307692307693,0.38461538461538464,0.34615384615384615,0.46153846153846156,0.038461538461538464,0.0,0.07692307692307693,0.0,0.8076923076923077,0.11538461538461539,0.038461538461538464,0.11538461538461539,0.038461538461538464,0.07692307692307693
SMSY00071,0.07692307692307693,0.38461538461538464,0.34615384615384615,0.46153846153846156,0.038461538461538464,0.0,0.07692307692307693,0.0,0.8076923076923077,0.11538461538461539,0.038461538461538464,0.11538461538461539,0.038461538461538464,0.07692307692307693
SMSY00073,0.11702127659574468,0.16489361702127658,0.11702127659574468,0.1702127659574468,0.14361702127659576,0.03723404255319149,0.18617021276595744,0.010638297872340425,0.43617021276595747,0.19680851063829788,0.047872340425531915,0.21808510638297873,0.05319148936170213,0.026595744680851064
SMSY00074,0.13333333333333333,0.2777777777777778,0.25555555555555554,0.24444444444444444,0.12222222222222222,0.03333333333333333,0.12222222222222222,0.022222222222222223,0.6444444444444445,0.14444444444444443,0.0,0.13333333333333333,0.08888888888888889,0.05555555555555555
SMSY00075,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SMSY00076,0.13186813186813187,0.27472527472527475,0.25274725274725274,0.25274725274725274,0.12087912087912088,0.03296703296703297,0.12087912087912088,0.02197802197802198,0.6483516483516484,0.14285714285714285,0.0,0.13186813186813187,0.08791208791208792,0.054945054945054944
SMSY00077,0.043478260869565216,0.13043478260869565,0.0,0.4782608695652174,0.043478260869565216,0.0,0.0,0.0,0.6956521739130435,0.2608695652173913,0.08695652173913043,0.0,0.21739130434782608,0.0
SMSY00078,0.06666666666666667,0.1111111111111111,0.4888888888888889,0.35555555555555557,0.08888888888888889,0.022222222222222223,0.044444444444444446,0.022222222222222223,0.8888888888888888,0.044444444444444446,0.15555555555555556,0.06666666666666667,0.1111111111111111,0.06666666666666667
SMSY00079,0.0,0.2857142857142857,0.2857142857142857,0.21428571428571427,0.14285714285714285,0.0,0.0,0.0,0.6428571428571429,0.14285714285714285,0.0,0.0,0.0,0.0
SMSY00080,0.2608695652173913,0.021739130434782608,0.13043478260869565,0.32608695652173914,0.021739130434782608,0.0,0.21739130434782608,0.0,0.6086956521739131,0.13043478260869565,0.021739130434782608,0.1956521739130435,0.0,0.0
SMSY00081,0.2608695652173913,0.021739130434782608,0.13043478260869565,0.32608695652173914,0.021739130434782608,0.0,0.21739130434782608,0.0,0.6086956521739131,0.13043478260869565,0.021739130434782608,0.1956521739130435,0.0,0.0
SMSY00082,0.09090909090909091,0.5454545454545454,0.0,0.0,0.09090909090909091,0.0,0.45454545454545453,0.0,0.6363636363636364,0.09090909090909091,0.0,0.45454545454545453,0.09090909090909091,0.0
SMSY00083,0.125,0.75,0.0,0.0,0.125,0.0,0.25,0.0,0.875,0.125,0.0,0.25,0.0,0.0
SMSY00084,0.09815950920245399,0.018404907975460124,0.11042944785276074,0.2085889570552147,0.05521472392638037,0.024539877300613498,0.22085889570552147,0.0,0.43558282208588955,0.22699386503067484,0.018404907975460124,0.2392638036809816,0.018404907975460124,0.012269938650306749
SMSY00085,0.1,0.01875,0.1125,0.2125,0.05625,0.025,0.2125,0.0,0.44375,0.225,0.01875,0.23125,0.01875,0.0125
SMSY00086,0.0,0.0,0.0,0.18421052631578946,0.0,0.0,0.15789473684210525,0.0,0.21052631578947367,0.6578947368421053,0.0,0.2894736842105263,0.10526315789473684,0.0
SMSY00087,0.2,0.0,0.4,0.4,0.1,0.0,0.3,0.0,0.7,0.2,0.1,0.3,0.0,0.0
SMSY00088,0.0380952380952381,0.01904761904761905,0.10476190476190476,0.12380952380952381,0.06666666666666667,0.0380952380952381,0.24761904761904763,0.0,0.3333333333333333,0.2857142857142857,0.01904761904761905,0.2857142857142857,0.02857142857142857,0.01904761904761905
SMSY00089,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.0,0.3333333333333333,0.0,0.75,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.16666666666666666
SMSY00090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SMSY00091,0.0,0.0,0.2222222222222222,0.4444444444444444,0.0,0.0,0.2222222222222222,0.0,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.2222222222222222
SMSY00092,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.25,0.0
SMSY00093,0.0,0.04,0.0,0.88,0.0,0.0,0.36,0.08,0.92,0.12,0.04,0.36,0.12,0.04
SMSY00094,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
SMSY00095,0.08333333333333333,0.4166666666666667,0.125,0.2916666666666667,0.0,0.0,0.08333333333333333,0.0,0.8333333333333334,0.20833333333333334,0.125,0.125,0.16666666666666666,0.08333333333333333
SMSY00096,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.8571428571428571,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.0,0.14285714285714285
SMSY00097,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0
SMSY00098,0.023255813953488372,0.5813953488372093,0.046511627906976744,0.20930232558139536,0.023255813953488372,0.0,0.046511627906976744,0.06976744186046512,0.7441860465116279,0.18604651162790697,0.06976744186046512,0.06976744186046512,0.023255813953488372,0.023255813953488372
SMSY00099,0.06097560975609756,0.23170731707317074,0.036585365853658534,0.524390243902439,0.036585365853658534,0.0,0.024390243902439025,0.024390243902439025,0.7560975609756098,0.08536585365853659,0.04878048780487805,0.024390243902439025,0.15853658536585366,0.0
SMSY00100,0.07042253521126761,0.15492957746478872,0.028169014084507043,0.4225352112676056,0.04225352112676056,0.0,0.014084507042253521,0.028169014084507043,0.6901408450704225,0.16901408450704225,0.056338028169014086,0.014084507042253521,0.15492957746478872,0.0
SMSY00101,0.18181818181818182,0.045454545454545456,0.0,0.5,0.0,0.045454545454545456,0.045454545454545456,0.0,0.8181818181818182,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0
SMSY00102,0.04878048780487805,0.2926829268292683,0.07317073170731707,0.6585365853658537,0.0,0.024390243902439025,0.024390243902439025,0.0,0.8292682926829268,0.07317073170731707,0.0,0.024390243902439025,0.0975609756097561,0.04878048780487805
SMSY00103,0.18181818181818182,0.045454545454545456,0.0,0.5,0.0,0.045454545454545456,0.045454545454545456,0.0,0.8181818181818182,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0
SMSY00104,0.0,0.225,0.15,0.25,0.075,0.0,0.05,0.05,0.7,0.225,0.025,0.05,0.025,0.025
SMSY00105,0.0,0.23076923076923078,0.15384615384615385,0.20512820512820512,0.10256410256410256,0.0,0.05128205128205128,0.05128205128205128,0.6923076923076923,0.20512820512820512,0.05128205128205128,0.05128205128205128,0.02564102564102564,0.02564102564102564
SMSY00106,0.0,0.037037037037037035,0.037037037037037035,0.8518518518518519,0.0,0.0,0.3333333333333333,0.07407407407407407,0.9259259259259259,0.1111111111111111,0.037037037037037035,0.3333333333333333,0.1111111111111111,0.037037037037037035
