TCM_symptom_id,Syndrome_id
SMTS00335,SMSY00011
SMTS00545,SMSY00011
SMTS00548,SMSY00011
SMTS00609,SMSY00011
SMTS00803,SMSY00011
SMTS00804,SMSY00011
SMTS00807,SMSY00011
SMTS00811,SMSY00011
SMTS00812,SMSY00011
SMTS01057,SMSY00011
SMTS01062,SMSY00011
SMTS01066,SMSY00011
SMTS01068,SMSY00011
SMTS01085,SMSY00011
SMTS01089,SMSY00011
SMTS01149,SMSY00011
SMTS01309,SMSY00011
SMTS01761,SMSY00011
SMTS01795,SMSY00011
SMTS01938,SMSY00011
SMTS00046,SMSY00012
SMTS00047,SMSY00012
SMTS00049,SMSY00012
SMTS00161,SMSY00012
SMTS00164,SMSY00012
SMTS00165,SMSY00012
SMTS00166,SMSY00012
SMTS00167,SMSY00012
SMTS00168,SMSY00012
SMTS00169,SMSY00012
SMTS00170,SMSY00012
SMTS00613,SMSY00012
SMTS01762,SMSY00012
SMTS00542,SMSY00013
SMTS00543,SMSY00013
SMTS00790,SMSY00013
SMTS00932,SMSY00013
SMTS00938,SMSY00013
SMTS00952,SMSY00013
SMTS00953,SMSY00013
SMTS01036,SMSY00013
SMTS01037,SMSY00013
SMTS01094,SMSY00013
SMTS01096,SMSY00013
SMTS01097,SMSY00013
SMTS01098,SMSY00013
SMTS01654,SMSY00013
SMTS01759,SMSY00013
SMTS00026,SMSY00014
SMTS00030,SMSY00014
SMTS00218,SMSY00014
SMTS00219,SMSY00014
SMTS00220,SMSY00014
SMTS00263,SMSY00014
SMTS00335,SMSY00014
SMTS00538,SMSY00014
SMTS00539,SMSY00014
SMTS00549,SMSY00014
SMTS00637,SMSY00014
SMTS00638,SMSY00014
SMTS00942,SMSY00014
SMTS00943,SMSY00014
SMTS01057,SMSY00014
SMTS01085,SMSY00014
SMTS01255,SMSY00014
SMTS01579,SMSY00014
SMTS01653,SMSY00014
SMTS00026,SMSY00015
SMTS00030,SMSY00015
SMTS00218,SMSY00015
SMTS00219,SMSY00015
SMTS00220,SMSY00015
SMTS00263,SMSY00015
SMTS00335,SMSY00015
SMTS00419,SMSY00015
SMTS00538,SMSY00015
SMTS00539,SMSY00015
SMTS00549,SMSY00015
SMTS00637,SMSY00015
SMTS00638,SMSY00015
SMTS00942,SMSY00015
SMTS00943,SMSY00015
SMTS01057,SMSY00015
SMTS01085,SMSY00015
SMTS01255,SMSY00015
SMTS00010,SMSY00016
SMTS00016,SMSY00016
SMTS00017,SMSY00016
SMTS00018,SMSY00016
SMTS00027,SMSY00016
SMTS00041,SMSY00016
SMTS00042,SMSY00016
SMTS00044,SMSY00016
SMTS00045,SMSY00016
SMTS00048,SMSY00016
SMTS00050,SMSY00016
SMTS00059,SMSY00016
SMTS00063,SMSY00016
SMTS00088,SMSY00016
SMTS00089,SMSY00016
SMTS00096,SMSY00016
SMTS00097,SMSY00016
SMTS00098,SMSY00016
SMTS00102,SMSY00016
SMTS00104,SMSY00016
SMTS00149,SMSY00016
SMTS00150,SMSY00016
SMTS00152,SMSY00016
SMTS00153,SMSY00016
SMTS00154,SMSY00016
SMTS00155,SMSY00016
SMTS00160,SMSY00016
SMTS00171,SMSY00016
SMTS00176,SMSY00016
SMTS00177,SMSY00016
SMTS00201,SMSY00016
SMTS00216,SMSY00016
SMTS00217,SMSY00016
SMTS00234,SMSY00016
SMTS00236,SMSY00016
SMTS00242,SMSY00016
SMTS00249,SMSY00016
SMTS00256,SMSY00016
SMTS00257,SMSY00016
SMTS00258,SMSY00016
SMTS00260,SMSY00016
SMTS00261,SMSY00016
SMTS00262,SMSY00016
SMTS00275,SMSY00016
SMTS00279,SMSY00016
SMTS00293,SMSY00016
SMTS00299,SMSY00016
SMTS00311,SMSY00016
SMTS00312,SMSY00016
SMTS00313,SMSY00016
SMTS00317,SMSY00016
SMTS00320,SMSY00016
SMTS00323,SMSY00016
SMTS00324,SMSY00016
SMTS00338,SMSY00016
