HERBDB_ID,hot,cold,internal,external,yin,yang,excess,deficiency
HERB001719,1,1,0,0,1,1,1,0
HERB001729,1,1,0,0,1,1,1,0
HERB001734,1,0,1,0,0,1,0,0
HERB001749,0,0,0,0,0,0,0,0
HERB001758,0,1,0,1,1,0,0,0
HERB001776,1,0,1,0,0,1,0,0
HERB001754,1,0,1,0,0,1,0,0
HERB001779,0,0,1,0,0,0,0,1
HERB001801,1,0,1,0,0,1,0,0
HERB001806,0,1,0,0,1,0,0,0
HERB001787,1,0,1,0,0,1,0,0
HERB001852,1,0,1,0,0,1,0,0
HERB001821,1,0,0,1,0,1,0,0
HERB001876,0,1,0,1,1,0,0,0
HERB001896,1,1,0,0,1,1,1,0
HERB001924,0,1,0,0,1,0,0,0
HERB001901,1,1,0,0,1,1,0,1
HERB001915,0,0,1,0,1,0,0,1
HERB001938,1,1,0,0,0,1,0,0
HERB001942,1,0,1,0,0,1,0,1
HERB001948,0,1,0,0,1,0,1,0
HERB001952,0,1,1,0,1,0,1,0
HERB001969,1,1,0,0,1,1,1,0
HERB001981,0,1,0,0,1,0,0,0
HERB005615,0,1,0,0,1,0,0,0
HERB003961,1,1,0,0,1,1,1,0
HERB002002,1,0,1,0,0,1,0,0
HERB002040,0,0,0,0,0,0,1,0
HERB002052,0,1,0,0,1,0,1,0
HERB002053,0,1,0,0,1,0,1,0
HERB002061,1,1,0,0,1,1,1,0
HERB002062,1,0,0,1,0,1,0,0
HERB000613,1,1,0,0,1,1,1,0
HERB002087,1,1,0,0,1,1,1,0
HERB002094,0,1,0,0,1,0,0,0
HERB002119,1,1,0,0,0,1,1,0
HERB002126,0,1,1,0,1,0,1,0
HERB002194,0,0,1,0,0,0,0,0
HERB002191,1,1,0,0,0,1,1,0
HERB002189,1,0,1,0,0,1,0,1
HERB002182,0,0,0,0,0,0,1,0
HERB002209,0,0,1,0,1,0,0,1
HERB002224,1,0,1,0,0,1,0,0
HERB002242,0,0,1,0,1,0,0,1
HERB002319,1,0,1,0,0,1,0,1
HERB002276,1,0,0,0,0,1,1,0
HERB002309,1,0,1,0,0,1,0,1
HERB002351,0,1,1,0,1,0,1,0
HERB002339,1,0,1,0,0,1,0,0
HERB002342,1,0,1,0,0,1,0,0
HERB002369,1,1,0,0,1,1,0,1
HERB002371,1,0,1,0,0,1,0,0
HERB002376,1,0,1,0,0,1,0,1
HERB002370,0,0,0,0,0,0,1,0
HERB002365,1,1,0,0,1,1,1,0
HERB002405,0,1,0,0,1,0,0,0
HERB002424,1,0,1,0,0,1,0,0
HERB002448,0,0,0,0,0,0,0,0
HERB002446,1,0,0,0,0,1,0,0
HERB002428,1,0,1,0,0,1,0,0
HERB002472,0,1,0,0,1,0,0,0
HERB002473,0,1,0,0,1,0,0,0
HERB002483,1,1,0,0,1,1,1,0
HERB002489,1,1,0,0,1,1,1,0
HERB002534,0,0,1,0,1,0,0,1
HERB002540,1,1,0,0,1,1,1,0
HERB002560,1,0,1,0,0,1,0,1
HERB002563,1,1,0,0,1,1,1,0
HERB002591,0,1,1,0,1,0,1,0
HERB002640,0,0,0,0,0,0,0,0
HERB002665,0,1,0,0,1,0,0,0
HERB002667,0,1,0,0,1,0,0,0
HERB002714,1,0,0,0,0,1,1,0
HERB002713,1,1,0,0,1,1,1,0
HERB002711,1,0,0,0,0,1,1,0
HERB002679,1,0,0,0,1,1,0,0
HERB002840,1,0,0,0,0,1,1,0
HERB002846,1,0,1,0,0,1,0,0
HERB000459,0,1,1,0,1,0,0,1
HERB002856,0,1,1,0,1,0,0,1
HERB002887,1,0,1,0,0,1,1,0
HERB002896,1,0,1,0,0,1,1,0
HERB002926,1,1,0,0,1,1,1,0
HERB002937,0,1,0,0,1,0,0,0
HERB002941,1,1,0,0,1,1,1,0
HERB002991,1,1,0,0,1,1,1,0
HERB002962,1,1,0,0,1,1,1,0
HERB002966,0,0,1,0,1,0,0,0
HERB002970,0,1,0,0,1,0,0,0
HERB002893,1,1,0,0,1,1,1,0
HERB002976,0,1,0,0,1,0,0,0
HERB002983,1,0,0,1,0,1,0,0
HERB002986,1,0,0,1,0,1,0,0
HERB002993,0,0,0,0,0,0,0,0
HERB003004,1,0,1,0,0,1,0,1
HERB002876,0,0,1,0,0,0,1,0
HERB003031,0,1,0,1,1,0,0,0
HERB003039,0,1,0,1,1,0,0,0
HERB003027,0,0,1,0,0,0,0,0
HERB003028,1,0,1,0,0,1,0,0
HERB003040,0,0,1,0,0,0,0,0
HERB003053,0,0,1,0,0,0,0,0
HERB003061,0,0,0,0,0,0,0,0
HERB003070,1,1,0,0,1,1,0,0
HERB003164,1,1,0,0,1,1,1,0
HERB003167,1,1,0,0,1,1,1,0
HERB003136,1,1,0,0,1,1,1,0
HERB003137,1,1,0,0,1,1,0,0
HERB003153,0,1,0,0,1,0,1,0
HERB003156,0,1,0,0,1,0,1,0
HERB003174,1,0,0,0,0,1,0,0
HERB003192,1,0,0,0,0,1,0,0
HERB003210,0,1,1,0,1,0,1,0
HERB003232,1,0,0,1,0,1,0,0
HERB003245,0,0,0,0,0,0,1,0
HERB003274,1,1,0,0,1,1,1,0
HERB003282,1,1,0,0,1,1,1,0
HERB003288,1,1,0,0,1,1,1,0
HERB003291,0,1,0,0,1,0,1,0
HERB003348,1,0,1,0,0,1,0,0
HERB003359,0,1,0,0,1,0,0,0
HERB003360,0,1,0,0,1,0,0,0
HERB003361,1,1,0,0,1,1,1,0
HERB003353,1,0,0,0,0,1,0,0
HERB003369,0,0,1,0,0,0,0,0
HERB003378,0,1,1,0,1,0,0,0
HERB003384,1,1,0,0,1,1,1,0
HERB003391,1,1,0,0,1,1,1,0
HERB003395,1,1,0,0,1,1,1,0
HERB003444,0,0,1,0,0,0,0,1
HERB003439,0,1,0,0,1,0,1,0
HERB003431,1,0,0,1,0,1,0,0
HERB000963,1,1,0,0,1,1,1,0
HERB003478,1,1,0,0,1,1,1,0
HERB003482,1,1,0,0,1,1,1,0
HERB003485,0,0,0,1,0,0,0,0
HERB003504,1,1,0,0,1,1,1,0
HERB003526,1,1,0,0,1,1,0,0
HERB003528,0,1,1,0,1,0,1,0
HERB003549,1,1,0,0,1,1,1,0
HERB003535,1,1,0,0,1,1,1,0
HERB003573,0,1,0,0,1,0,0,0
HERB003582,0,1,1,0,1,0,1,0
HERB003600,1,1,0,0,1,1,1,0
HERB003618,1,1,0,0,1,1,1,0
HERB003511,1,1,0,0,1,1,1,0
HERB003616,1,1,0,0,1,1,1,0
HERB003658,1,0,0,1,0,1,0,0
HERB003659,0,0,1,0,0,0,0,0
HERB003636,0,1,0,0,1,0,1,0
HERB003638,1,1,0,0,0,1,1,0
HERB003641,1,1,0,0,1,1,1,0
HERB003648,0,1,0,0,1,0,0,0
HERB000689,1,1,0,0,1,1,1,0
HERB003679,1,1,0,0,1,1,1,0
HERB003945,1,1,0,0,1,1,1,0
HERB004843,1,1,0,0,1,1,1,0
HERB003698,1,1,0,0,1,1,1,0
HERB003715,0,0,0,0,0,0,1,0
HERB003730,0,1,0,0,1,0,0,0
HERB003725,0,1,0,1,1,0,0,0
HERB003821,0,1,1,0,1,0,1,0
HERB003837,1,1,0,0,0,1,1,0
HERB004004,0,0,0,0,0,0,1,0
HERB003840,1,0,1,0,0,1,0,0
HERB003851,0,0,1,0,0,0,0,0
HERB003924,1,1,0,0,1,1,1,0
HERB003941,1,1,0,0,1,1,0,0
HERB003953,0,0,0,0,0,0,0,0
HERB003988,0,1,1,0,1,0,0,1
HERB004013,1,1,0,0,1,1,0,0
HERB004040,0,1,0,1,1,0,0,0
HERB004036,1,0,0,0,0,1,0,0
HERB004042,1,0,0,0,0,1,0,0
HERB004009,0,1,0,1,1,0,0,0
HERB004011,0,1,0,1,1,0,0,0
HERB004021,1,1,0,0,1,1,1,0
HERB004029,1,1,0,0,1,1,1,0
HERB004055,0,1,0,1,1,0,0,0
HERB004060,0,1,0,0,1,0,0,0
HERB004064,1,0,1,0,0,1,0,0
HERB004068,0,1,0,1,1,0,0,0
HERB004063,1,1,0,0,1,1,1,0
HERB004092,0,0,0,0,0,0,1,0
HERB004093,0,0,0,0,0,0,1,0
HERB004102,0,1,1,0,1,0,0,1
HERB004107,0,0,1,0,0,0,0,0
HERB004118,1,0,1,0,0,1,0,0
HERB004129,1,1,0,0,1,1,1,0
HERB004191,0,1,0,1,1,0,0,0
HERB004193,0,0,0,0,0,0,0,0
HERB004201,0,1,0,0,1,0,1,0
HERB004218,0,0,0,0,0,0,1,0
HERB004239,0,0,1,0,0,0,0,0
HERB004712,0,0,1,0,0,0,0,0
HERB004237,0,1,1,0,1,0,0,1
HERB004242,0,1,1,0,1,0,0,1
HERB004251,0,0,0,0,0,0,0,0
HERB004316,0,1,1,0,1,0,1,0
HERB004317,0,1,1,0,1,0,1,0
HERB004330,0,0,1,0,0,0,0,0
HERB004350,0,1,0,0,1,0,0,0
HERB004366,0,1,1,0,1,0,1,0
HERB004402,0,0,0,0,0,0,0,0
HERB002655,0,1,0,0,1,0,0,0
HERB004457,0,0,0,0,0,0,1,0
HERB004460,1,0,0,0,0,1,0,0
HERB004468,1,0,0,0,0,1,1,0
HERB004471,0,0,0,0,0,0,0,0
HERB004469,0,1,0,0,1,0,0,0
HERB004453,0,1,1,0,1,0,1,0
HERB005937,0,1,1,0,1,0,1,0
HERB004472,0,0,1,0,0,0,1,0
HERB004446,0,1,0,0,1,0,0,0
HERB004479,1,0,0,1,0,1,0,0
HERB002740,1,1,0,0,1,1,1,0
HERB004500,1,1,0,0,1,1,1,0
HERB004507,1,1,0,0,0,1,1,0
HERB004513,1,1,0,0,1,1,1,0
HERB004516,1,1,0,0,1,1,1,0
HERB004518,1,1,0,0,1,1,1,0
HERB004519,1,1,0,0,0,1,1,0
HERB004520,1,1,0,0,1,1,0,1
HERB004534,1,0,1,0,0,1,0,0
HERB004543,1,1,0,0,1,1,0,0
HERB004546,0,1,0,0,1,0,0,0
HERB004527,0,0,0,0,0,0,0,0
HERB004569,0,1,0,0,1,0,0,0
HERB004578,1,1,0,0,1,1,1,0
HERB004609,1,0,1,0,0,1,0,1
HERB004616,0,1,1,0,1,0,0,1
HERB004692,1,0,1,0,0,1,0,1
HERB004693,1,0,1,0,0,1,0,0
HERB004694,1,0,1,0,0,1,0,0
HERB004719,1,0,0,0,0,1,1,0
HERB004734,0,1,0,1,1,0,0,0
HERB004752,0,1,0,0,1,0,0,0
HERB004762,1,1,0,0,1,1,1,0
HERB004774,0,0,0,0,0,0,1,0
HERB004783,1,0,0,0,0,1,0,0
HERB004785,1,1,0,0,1,1,1,0
HERB004822,0,1,0,0,1,0,0,0
HERB004954,0,1,0,0,1,0,0,0
HERB004829,0,0,0,0,0,0,1,0
HERB004832,0,1,1,0,1,0,0,1
HERB004834,0,1,0,1,1,0,0,0
HERB004837,1,1,0,0,0,1,1,0
HERB004849,1,0,1,0,0,1,1,0
HERB004864,1,0,1,0,0,1,0,1
HERB004853,1,0,1,0,0,1,0,0
HERB004874,1,1,0,0,1,1,1,0
HERB004883,1,1,0,0,1,1,1,0
HERB004914,1,0,1,0,0,1,0,0
HERB004938,0,0,1,0,0,0,0,1
HERB004948,0,0,0,0,0,0,1,0
HERB004950,1,0,1,0,0,1,0,0
HERB004957,0,1,0,0,1,0,0,0
HERB004971,1,1,0,0,1,1,1,0
HERB004973,1,1,0,0,1,1,1,0
HERB004998,1,1,0,0,1,1,1,0
HERB004999,1,1,0,0,1,1,1,0
HERB005022,0,1,0,1,1,0,0,0
HERB005017,1,0,0,1,0,1,0,0
HERB005034,1,1,0,0,1,1,1,0
HERB000944,1,1,0,0,1,1,1,0
HERB005036,1,1,0,0,1,1,1,0
HERB005030,1,0,0,0,0,1,1,0
HERB005059,0,1,0,0,1,0,1,0
HERB005071,1,0,1,0,0,1,0,0
HERB005085,1,1,0,0,1,1,1,0
HERB005092,0,1,0,0,1,0,0,0
HERB005062,1,0,0,0,0,1,1,0
HERB005039,0,0,1,0,0,0,0,0
HERB005118,1,0,1,0,1,1,0,1
HERB005132,0,0,1,0,0,0,1,0
HERB005162,1,1,0,0,1,1,1,0
HERB005165,0,1,0,0,1,0,1,0
HERB005228,1,1,0,0,1,1,1,0
HERB005258,1,0,0,0,0,1,0,0
HERB005273,1,0,0,0,0,1,0,0
HERB005287,1,0,0,0,0,1,1,0
HERB005319,0,0,1,0,0,0,0,0
HERB005335,1,0,1,0,0,1,0,0
HERB005390,0,0,1,0,0,0,0,1
HERB005392,1,0,1,0,0,1,0,0
HERB005412,0,0,0,0,0,0,1,0
HERB005434,0,1,1,0,1,0,0,1
HERB005444,1,1,0,0,1,1,0,0
HERB005447,1,1,0,0,1,1,1,0
HERB005455,1,0,1,0,0,1,1,0
HERB005471,1,0,1,0,0,1,0,1
HERB005476,1,1,0,0,1,1,1,0
HERB005477,1,0,0,0,0,1,0,0
HERB005485,0,1,1,0,1,0,1,0
HERB005442,0,1,1,0,1,0,1,0
HERB005508,1,1,0,0,0,1,1,0
HERB005511,1,1,0,0,1,1,1,0
HERB005519,0,1,0,0,1,0,0,0
HERB005523,0,1,0,0,1,0,0,0
HERB005548,0,1,1,0,1,0,1,0
HERB005564,1,1,0,0,0,1,1,0
HERB005569,1,1,0,0,1,1,1,0
HERB005580,1,0,1,0,0,1,0,1
HERB005602,0,0,1,0,0,0,1,0
HERB005609,1,1,0,0,1,1,0,0
HERB005637,0,0,0,0,0,0,1,0
HERB005659,1,1,0,0,1,1,1,0
HERB005658,1,1,0,0,1,1,1,0
HERB005731,1,1,0,0,1,1,1,0
HERB005742,0,0,1,0,0,0,0,0
HERB005767,1,0,1,0,0,1,0,0
HERB005712,0,1,1,0,1,0,1,0
HERB005713,0,0,1,0,0,0,1,0
HERB005782,1,0,1,0,0,1,0,0
HERB005758,0,0,0,0,0,0,1,0
HERB005692,0,1,1,0,1,0,0,0
HERB005825,1,0,0,1,0,1,0,0
HERB005826,0,0,0,0,0,0,1,0
HERB005900,0,1,1,0,1,1,0,1
HERB005889,1,1,0,0,1,1,1,0
HERB005894,1,0,0,1,0,1,0,0
HERB005940,1,1,0,0,1,1,0,0
HERB005945,1,1,0,0,0,1,1,0
HERB005977,0,0,0,0,0,0,0,0
HERB005988,1,0,1,0,0,1,0,1
HERB005995,0,0,0,0,0,0,1,0
HERB006048,1,1,0,0,0,1,1,0
HERB006019,0,0,1,0,0,0,0,0
HERB006068,0,0,1,0,0,0,0,0
HERB006026,1,1,0,0,1,1,1,0
HERB000716,1,1,0,0,1,1,1,0
HERB006033,1,1,0,0,1,1,1,0
HERB006045,1,0,0,1,0,1,0,0
HERB006055,1,0,1,0,0,1,0,0
HERB006061,1,0,1,0,0,1,0,0
HERB006121,1,0,1,0,0,1,0,0
HERB006122,0,1,0,0,1,0,0,0
HERB006151,0,1,0,0,1,0,0,0
HERB006191,1,0,1,0,0,1,0,0
HERB006228,1,0,0,1,0,1,0,0
HERB006258,1,1,0,0,1,1,1,0
HERB006259,1,0,1,0,0,1,0,1
HERB006265,0,1,0,0,1,0,0,0
HERB006280,1,1,0,0,1,1,0,0
HERB006269,1,0,1,0,0,1,1,0
HERB006307,1,1,0,0,1,1,1,0
HERB006310,1,1,0,0,1,1,1,0
HERB006335,1,1,0,0,1,1,0,0
HERB006336,1,1,0,0,1,1,0,0
HERB006326,0,0,0,0,0,0,0,0
HERB006353,1,0,1,0,0,1,0,0
HERB006387,1,0,0,0,0,1,0,0
HERB006471,1,1,0,0,1,1,1,0
HERB006571,0,1,0,1,1,0,0,0
HERB006508,0,1,1,0,1,0,1,0
HERB005673,0,1,0,0,1,0,1,0
HERB006537,0,1,0,0,1,0,1,0
HERB006569,1,0,1,0,0,1,0,1
HERB006568,0,1,0,0,1,0,0,0
HERB006586,0,1,0,0,1,0,0,0
HERB006585,1,1,0,0,1,1,0,1
HERB006632,0,0,0,0,1,0,0,0
HERB006658,0,0,0,0,1,0,0,0
HERB006633,1,0,1,0,1,1,0,1
HERB006653,0,0,1,0,1,0,0,0
HERB006714,1,1,0,0,1,1,1,0
HERB006741,1,1,0,0,1,1,1,0
HERB006753,0,1,0,1,1,0,0,0
HERB006733,0,0,0,0,0,0,0,0
HERB006754,0,1,1,0,1,0,0,1
HERB006718,0,1,0,0,1,0,1,0
HERB006725,0,0,0,0,0,0,0,0
HERB006752,0,1,1,0,1,0,0,0
HERB006773,1,0,0,0,0,1,0,0
HERB006784,1,0,0,1,0,1,0,0
HERB006811,1,0,0,0,0,1,1,0
HERB006860,0,0,0,1,0,0,0,0
HERB006890,1,0,1,0,0,1,1,0
HERB006891,1,0,1,0,0,1,1,0
HERB001773,1,0,0,0,0,1,1,0
HERB006901,1,0,0,0,0,1,1,0
HERB006905,0,1,0,0,1,0,0,0
HERB006908,0,1,0,0,1,0,0,0
HERB006950,0,1,1,0,1,0,1,0
HERB007023,1,1,0,0,1,1,0,0
HERB007046,1,1,0,0,1,1,0,0
HERB007002,0,0,0,0,0,0,0,0
HERB007004,0,1,1,0,1,0,0,0
HERB007026,0,1,1,0,1,0,0,0
HERB007034,0,1,1,0,1,0,1,0
HERB007079,1,1,0,0,0,1,1,0
HERB007112,0,0,0,0,0,0,0,0
HERB007127,1,0,1,0,0,1,1,0
HERB007108,1,0,1,0,0,1,0,1
HERB007111,1,1,0,0,1,1,1,0
HERB007114,0,1,0,0,1,0,0,0
HERB007160,1,1,0,0,1,1,0,0
HERB007174,1,1,0,0,1,1,1,0
HERB007180,0,1,1,0,1,0,1,0
HERB007211,1,0,0,1,0,1,0,0
HERB007213,1,0,0,0,0,1,0,0
HERB007221,1,0,0,0,0,1,0,0
HERB001874,1,1,0,1,1,1,0,0
HERB004606,0,1,0,0,1,0,0,0
HERB003010,1,0,1,0,0,1,0,0
HERB003013,1,0,1,0,0,1,0,0
HERB004773,1,1,0,0,1,1,1,0
HERB004322,1,0,0,0,0,1,0,0
HERB001796,1,0,0,0,0,1,0,0
HERB005574,1,0,1,0,0,1,0,0
HERB001158,0,0,0,0,0,0,0,0
HERB004909,0,1,1,0,1,0,0,1
HERB004910,0,1,1,0,1,0,0,1
HERB004945,1,0,0,0,0,1,1,0
HERB005532,1,0,0,0,0,1,1,0
HERB004462,1,1,1,0,1,1,1,0
HERB004461,1,0,1,0,0,1,1,0
HERB000871,1,0,1,0,0,1,0,0
HERB006985,1,0,0,0,0,1,1,0
HERB002006,0,1,0,0,1,0,0,0
HERB002007,0,1,0,0,1,0,0,0
HERB006175,0,0,0,0,0,0,1,0
HERB003680,1,0,0,0,0,1,0,0
HERB005451,0,0,0,0,1,0,0,0
HERB005717,1,0,0,0,0,1,1,0
HERB003787,1,1,0,0,0,1,1,0
HERB004362,1,0,0,0,0,1,0,0
HERB005750,0,0,0,0,0,0,1,0
HERB000130,1,0,0,0,0,1,1,0
HERB005183,1,1,0,0,1,1,0,0
HERB005206,1,0,0,0,0,1,0,0
HERB006990,0,0,0,0,1,0,0,1
HERB005042,1,0,1,0,0,1,1,0
HERB005061,0,1,0,0,1,0,0,0
HERB005051,0,1,0,0,1,0,0,1
HERB005054,0,1,0,0,1,0,0,1
HERB005055,0,1,0,0,1,0,0,1
HERB005048,1,1,0,0,1,1,0,0
HERB001441,1,1,0,0,1,1,0,0
HERB003498,1,0,0,0,1,1,0,1
HERB000177,0,1,0,0,1,0,0,0
HERB006278,0,1,1,0,1,0,1,0
HERB001604,1,0,1,0,0,1,1,0
HERB004015,1,0,1,0,0,1,0,0
HERB005222,0,0,0,0,0,0,1,0
HERB001257,0,1,0,0,1,0,0,0
HERB003748,0,1,1,0,1,0,1,0
HERB001213,1,1,0,0,1,1,1,0
HERB000814,1,0,0,0,0,1,0,0
HERB007117,0,1,1,0,1,0,0,0
HERB007119,0,1,0,0,1,0,1,0
HERB007116,0,1,1,0,1,0,1,0
HERB007200,0,0,0,0,0,0,0,0
HERB006305,0,0,0,0,0,0,0,0
HERB006290,0,0,0,0,0,0,0,0
HERB004579,0,0,0,0,1,0,0,0
HERB002173,0,0,1,0,0,0,0,0
HERB002172,0,0,1,0,0,0,0,0
HERB002260,0,1,0,0,1,0,1,0
HERB002280,1,1,0,0,1,1,1,0
HERB006995,1,0,1,0,0,1,0,1
HERB002263,1,0,1,0,0,1,0,0
HERB002267,1,0,0,1,0,1,0,0
HERB002294,0,0,0,0,1,0,0,1
HERB003708,0,1,0,0,1,0,0,1
HERB006798,1,0,1,0,0,1,0,0
HERB000803,1,0,1,0,0,1,0,0
HERB002443,0,0,0,0,0,0,0,0
HERB005297,0,0,0,0,0,0,0,0
HERB005749,1,0,1,0,1,1,0,1
HERB004050,0,1,0,0,1,0,0,0
