Syndrome_id,Herb_id
SMSY00044,SMHB00618
SMSY00044,SMHB00239
SMSY00044,SMHB00043
SMSY00044,SMHB00042
SMSY00044,SMHB00234
SMSY00044,SMHB00218
SMSY00044,SMHB00649
SMSY00044,SMHB00440
SMSY00044,SMHB00669
SMSY00044,SMHB00684
SMSY00044,SMHB00691
SMSY00044,SMHB00595
SMSY00044,SMHB00582
SMSY00044,SMHB00470
SMSY00044,SMHB00203
SMSY00044,SMHB00609
SMSY00044,SMHB00625
SMSY00044,SMHB00122
SMSY00044,SMHB00131
SMSY00044,SMHB00064
SMSY00044,SMHB00330
SMSY00044,SMHB00471
SMSY00044,SMHB00433
SMSY00044,SMHB00436
SMSY00044,SMHB00434
SMSY00044,SMHB00432
SMSY00044,SMHB00137
SMSY00044,SMHB00191
SMSY00044,SMHB00272
SMSY00044,SMHB00645
SMSY00044,SMHB00184
SMSY00044,SMHB00187
SMSY00044,SMHB00165
SMSY00045,SMHB00152
SMSY00046,SMHB00414
SMSY00046,SMHB00336
SMSY00046,SMHB00337
SMSY00046,SMHB00096
SMSY00046,SMHB00148
SMSY00046,SMHB00109
SMSY00046,SMHB00604
SMSY00046,SMHB00035
SMSY00046,SMHB00084
SMSY00046,SMHB00553
SMSY00046,SMHB00515
SMSY00046,SMHB00359
SMSY00046,SMHB00451
SMSY00046,SMHB00095
SMSY00046,SMHB00292
SMSY00046,SMHB00486
SMSY00046,SMHB00155
SMSY00046,SMHB00480
SMSY00046,SMHB00685
SMSY00046,SMHB00537
SMSY00046,SMHB00576
SMSY00046,SMHB00646
SMSY00046,SMHB00504
SMSY00046,SMHB00632
SMSY00046,SMHB00133
SMSY00046,SMHB00022
SMSY00046,SMHB00021
SMSY00046,SMHB00456
SMSY00046,SMHB00355
SMSY00046,SMHB00579
SMSY00046,SMHB00169
SMSY00046,SMHB00340
SMSY00046,SMHB00052
SMSY00046,SMHB00129
SMSY00046,SMHB00239
SMSY00046,SMHB00595
SMSY00046,SMHB00423
SMSY00046,SMHB00582
SMSY00046,SMHB00122
SMSY00046,SMHB00064
SMSY00046,SMHB00433
SMSY00046,SMHB00432
SMSY00046,SMHB00184
SMSY00046,SMHB00185
SMSY00046,SMHB00187
SMSY00046,SMHB00593
SMSY00047,SMHB00096
SMSY00047,SMHB00678
SMSY00047,SMHB00544
SMSY00048,SMHB00336
SMSY00049,SMHB00685
SMSY00050,SMHB00310
SMSY00050,SMHB00496
SMSY00050,SMHB00497
SMSY00050,SMHB00063
SMSY00050,SMHB00318
SMSY00050,SMHB00415
SMSY00050,SMHB00135
SMSY00050,SMHB00211
SMSY00050,SMHB00472
SMSY00050,SMHB00473
SMSY00050,SMHB00319
SMSY00050,SMHB00035
SMSY00050,SMHB00364
SMSY00050,SMHB00075
SMSY00050,SMHB00694
SMSY00050,SMHB00390
SMSY00050,SMHB00552
SMSY00050,SMHB00640
SMSY00050,SMHB00273
SMSY00050,SMHB00248
SMSY00050,SMHB00286
SMSY00050,SMHB00020
SMSY00050,SMHB00001
SMSY00050,SMHB00690
SMSY00050,SMHB00078
SMSY00050,SMHB00665
SMSY00050,SMHB00495
SMSY00050,SMHB00574
SMSY00050,SMHB00579
SMSY00050,SMHB00340
SMSY00050,SMHB00230
SMSY00050,SMHB00247
SMSY00050,SMHB00670
SMSY00050,SMHB00595
SMSY00050,SMHB00423
SMSY00050,SMHB00692
SMSY00050,SMHB00651
SMSY00050,SMHB00202
SMSY00050,SMHB00607
SMSY00050,SMHB00625
SMSY00050,SMHB00461
SMSY00051,SMHB00003
SMSY00051,SMHB00048
SMSY00051,SMHB00149
SMSY00051,SMHB00528
SMSY00051,SMHB00538
SMSY00051,SMHB00432
SMSY00051,SMHB00702
SMSY00052,SMHB00297
SMSY00052,SMHB00388
SMSY00053,SMHB00082
SMSY00053,SMHB00632
SMSY00056,SMHB00688
SMSY00057,SMHB00190
SMSY00058,SMHB00096
SMSY00058,SMHB00336
SMSY00058,SMHB00337
SMSY00058,SMHB00391
SMSY00058,SMHB00445
SMSY00058,SMHB00041
SMSY00058,SMHB00299
SMSY00058,SMHB00350
SMSY00058,SMHB00040
SMSY00058,SMHB00386
SMSY00058,SMHB00347
SMSY00058,SMHB00512
SMSY00058,SMHB00541
SMSY00058,SMHB00635
SMSY00058,SMHB00580
SMSY00059,SMHB00470
SMSY00061,SMHB00655
SMSY00062,SMHB00461
SMSY00063,SMHB00620
SMSY00063,SMHB00033
SMSY00063,SMHB00284
SMSY00063,SMHB00445
SMSY00063,SMHB00659
SMSY00063,SMHB00422
SMSY00063,SMHB00065
SMSY00063,SMHB00326
SMSY00064,SMHB00168
SMSY00064,SMHB00065
SMSY00064,SMHB00280
SMSY00064,SMHB00284
SMSY00064,SMHB00422
SMSY00064,SMHB00033
SMSY00064,SMHB00326
SMSY00064,SMHB00445
SMSY00064,SMHB00620
SMSY00064,SMHB00659
SMSY00065,SMHB00241
SMSY00066,SMHB00241
SMSY00067,SMHB00024
SMSY00068,SMHB00329
SMSY00069,SMHB00309
SMSY00069,SMHB00151
SMSY00069,SMHB00355
SMSY00069,SMHB00112
SMSY00070,SMHB00309
SMSY00070,SMHB00509
SMSY00070,SMHB00151
SMSY00070,SMHB00459
SMSY00070,SMHB00112
SMSY00070,SMHB00188
SMSY00071,SMHB00309
SMSY00071,SMHB00509
SMSY00071,SMHB00151
SMSY00071,SMHB00112
SMSY00072,SMHB00171
SMSY00073,SMHB00503
SMSY00073,SMHB00475
SMSY00073,SMHB00098
SMSY00073,SMHB00148
SMSY00073,SMHB00140
SMSY00073,SMHB00039
SMSY00073,SMHB00369
SMSY00073,SMHB00368
SMSY00073,SMHB00366
SMSY00073,SMHB00034
SMSY00073,SMHB00405
SMSY00073,SMHB00104
SMSY00073,SMHB00080
SMSY00073,SMHB00426
SMSY00073,SMHB00087
SMSY00073,SMHB00085
SMSY00073,SMHB00073
SMSY00073,SMHB00071
SMSY00073,SMHB00049
SMSY00073,SMHB00562
SMSY00073,SMHB00598
SMSY00073,SMHB00650
SMSY00073,SMHB00291
SMSY00073,SMHB00585
SMSY00073,SMHB00058
SMSY00073,SMHB00483
SMSY00073,SMHB00081
SMSY00073,SMHB00379
SMSY00073,SMHB00631
SMSY00073,SMHB00660
SMSY00073,SMHB00675
SMSY00073,SMHB00676
SMSY00073,SMHB00445
SMSY00073,SMHB00016
SMSY00073,SMHB00013
SMSY00073,SMHB00018
SMSY00073,SMHB00025
SMSY00073,SMHB00001
SMSY00073,SMHB00373
SMSY00073,SMHB00541
SMSY00073,SMHB00542
SMSY00073,SMHB00371
SMSY00073,SMHB00325
SMSY00073,SMHB00324
SMSY00073,SMHB00195
SMSY00073,SMHB00566
SMSY00073,SMHB00493
SMSY00073,SMHB00575
SMSY00073,SMHB00261
