k,precision_at_k,recall_at_k
1,0.637719298245614,0.3122190085101312
3,0.48654970760233923,0.4792012060277477
5,0.4159649122807018,0.5567687226703695
7,0.37142857142857144,0.6150745334610598
10,0.32184210526315793,0.6655535148438172
