train_frac,train_n,accuracy,top5_accuracy,macro_f1
0.1,456,0.0956140350877193,0.19035087719298247,0.07608531050747935
0.25,1140,0.2596491228070175,0.4631578947368421,0.21864231695791742
0.5,2280,0.4342105263157895,0.7219298245614035,0.40537319946661954
0.75,3420,0.512280701754386,0.8403508771929824,0.4927013260051765
1.0,4560,0.5807017543859649,0.9008771929824562,0.5654982752312474
